0.54967,5.3773,3.3169,6.2162,4.326,1.5426,0.8972,5.1184,0.47688
1.4282,1.2255,4.65,0.4883,1.5921,5.7241,0.59125,0.34001,0.48035
1.9753,4.6956,0.94205,2.024,4.3502,0.27353,5.4676,0.82002,0.4752
1.0981,1.8196,3.4626,5.9449,1.4282,5.9738,1.4883,5.2932,0.48155
3.8145,4.8619,1.361,0.056166,2.6681,3.496,2.4253,3.8852,0.47208
2.5986,2.6876,4.7702,5.1694,2.3369,2.3648,3.5911,3.3382,0.47927
5.1293,5.0749,4.5422,5.4112,2.2325,6.2521,3.3037,1.5601,0.47628
1.1632,2.2213,1.1093,2.7635,0.36226,0.3667,0.47767,1.854,0.47604
4.41,1.3427,5.4159,1.6069,3.9688,3.2466,5.4923,5.4832,0.47592
1.5102,4.821,0.12425,5.0434,4.4442,0.19539,5.9762,2.6494,0.47723
3.6079,1.9393,5.405,3.0025,3.8553,3.5888,5.1051,0.40483,0.47676
2.1928,4.6071,3.5117,0.84407,4.0735,1.1339,1.7832,5.6359,0.47616
0.35792,4.6777,2.5335,5.8298,1.0678,3.9644,3.3166,1.2779,0.48335
1.4377,1.3911,4.7673,5.6295,0.939,6.1633,2.1326,5.1913,0.47496
4.1727,1.3453,4.5046,3.0885,3.2307,5.4972,3.4851,5.5403,0.47604
3.1243,1.25,6.2036,5.3828,5.4999,2.839,6.1224,3.0583,0.47699
3.2611,0.89547,1.7473,2.63,1.1558,4.4514,1.9585,3.7603,0.48011
1.0978,2.3693,0.023836,4.2943,2.9081,4.885,4.2022,3.3129,0.48011
3.5859,0.16731,5.8679,2.5006,2.6951,3.1092,2.0481,3.9259,0.4758
6.2628,0.69693,5.3903,3.1777,3.1246,3.3209,4.8662,5.3724,0.48382
5.1323,4.2384,4.5795,1.191,1.0148,0.94741,2.0471,1.7727,0.47604
3.7346,5.0251,3.2465,6.0632,2.1516,2.321,5.591,5.5528,0.47604
6.1323,0.50598,4.4419,1.8486,1.6454,0.8936,4.7231,3.5669,0.47723
5.6647,1.4558,4.9042,0.65006,5.3063,4.5672,4.7918,0.72321,0.47891
3.7423,1.3046,2.3554,0.90676,5.0286,2.9972,2.9498,1.4263,0.47711
0.20374,5.7638,4.8401,0.088544,2.6807,2.8204,1.3243,3.7447,0.47496
0.58796,4.4693,4.7163,4.4984,3.814,5.5669,0.2606,1.5045,0.48143
0.41074,3.4802,3.8529,3.5468,0.91399,3.3151,2.0221,0.82571,0.47676
2.8383,1.9133,2.525,4.9925,3.202,2.5704,0.23319,1.0169,0.48203
2.3589,5.2455,4.3813,3.1861,1.8658,1.6895,4.3596,5.3085,0.47747
6.1283,2.7351,0.019559,4.9752,5.4013,0.45246,4.2119,3.7836,0.47699
1.0555,5.8022,4.8688,4.3716,4.2198,2.6272,2.7047,6.0543,0.48454
6.1122,4.4363,5.6324,4.8874,3.9802,0.16181,4.8242,2.172,0.48706
4.8222,3.0036,1.5037,2.554,0.78384,1.8294,3.3678,3.7424,0.47747
5.1788,0.793,0.7588,4.0701,2.9568,3.1636,0.25045,3.7635,0.47496
3.9748,6.1327,1.3841,1.1297,6.1988,6.0691,0.84693,3.8686,0.48251
4.2018,1.0043,1.8981,2.0221,5.9583,0.68727,1.2153,0.37182,0.47711
2.9963,1.273,5.5482,1.0845,4.0532,4.2288,2.109,4.7144,0.48179
0.082538,2.7092,3.4128,2.5675,0.95332,3.1412,0.32869,5.9578,0.48155
2.218,2.5397,1.8015,1.5169,4.0158,4.8827,3.8021,3.3595,0.4752
